1067,3.30895828
4463,14.30178237
8903,28.65978771
12719,40.86296031
17499,56.21884811
20889,67.15388879
26207,83.78449043
26727,85.18968672
30343,95.73996302
41822,127.8990288
42313,129.41419739
46390,141.8968826
48356,147.86951033
53740,164.94478664
59803,183.95194937
65474,201.2983523
69427,213.22392088
72622,222.71990536
78265,239.71300283
80112,245.29717718
82514,252.96766195
88635,271.45218586
92041,281.41397083
100345,305.25269347
102618,311.91888574
106278,322.88966951
109074,331.44593869
113963,346.1900702
