P01,4,"['75097','72607','72607','70692','70692','69112','69112','62572']",北极,"[232.20431081943542,225.74949826222047,225.74949826222047,220.40102456305547,220.40102456305547,217.30128035159046,217.30128035159046,208.43061138931404]","[75.35048990517096,78.18316355099007,78.18316355099007,80.0880796233035,80.0880796233035,82.1773599002707,82.1773599002707,88.80332166114391]",False,"[3.0,2.07,2.07,4.25,4.25,4.8,4.8,5.38]"
P02,3,"['72573','59767','59767','51384','51384','56253']",四辅,"[257.3514330769281,355.2994223925073,355.2994223925073,72.6586756825279,72.6586756825279,139.82297787897136]","[85.55207314809083,86.72587763835315,86.72587763835315,87.17337749569691,87.17337749569691,86.31547147170001]",False,"[5.63,6.27,6.27,5.52,5.52,6.12]"
P03,1,"['67627','67627']",天乙,"[200.54373699178245,200.54373699178245]","[69.80684483978257,69.80684483978257]",False,"[4.58,4.58]"
P04,1,"['66798','66798']",太乙,"[197.50618079418248,197.50618079418248]","[70.00912043941639,70.00912043941639]",False,"[5.85,5.85]"
P05,7,"['75458','78527','78527','80331','80331','83895','83895','89908','89908','99255','99255','111056','111056','6522']",紫微左垣,"[225.94540639229905,235.9155039298056,235.9155039298056,242.98518038574588,242.98518038574588,256.83853512924384,256.83853512924384,278.5279756111068,278.5279756111068,307.92063391580393,307.92063391580393,334.04441722661966,334.04441722661966,3.4164224489788304]","[62.65467123539504,61.50632547822342,61.50632547822342,63.91738240254428,63.91738240254428,66.96792731533463,66.96792731533463,70.65910032605981,70.65910032605981,74.46179891287399,74.46179891287399,73.72478616280422,73.72478616280422,73.27744216434208]",False,"[3.29,4.01,4.01,2.73,2.73,3.17,3.17,4.22,4.22,4.38,4.38,5.45,5.45,6.07]"
P06,6,"['68756','61281','61281','56211','56211','46977','46977','33827','33827','24254','24254','14862']",紫微右垣,"[204.3964299293401,176.33436430402386,176.33436430402386,155.3851007067332,155.3851007067332,118.0978153999086,118.0978153999086,76.44734426941352,76.44734426941352,49.2093829946947,49.2093829946947,24.89219218377595]","[69.30961567719211,75.35274996632418,75.35274996632418,74.69397778055406,74.69397778055406,73.50264867314776,73.50264867314776,70.901226251296,70.901226251296,71.45298448626801,71.45298448626801,69.89566428351314]",False,"[3.67,3.85,3.85,3.82,3.82,4.54,4.54,5.69,5.69,5.44,5.44,4.85]"
P07,1,"['74605','73199']",阴德,"[226.77837785413013,220.98030773152198]","[71.1051535082512,70.03728938184358]",False,"[5.15,4.63]"
P08,5,"['78893','80161','','80161','80650','80650','80682','80682','79414','79414','78893']",尚书,"[241.70557802527125,246.9084715988332,246.9084715988332,248.29053565040212,248.29053565040212,247.13195618083844,247.13195618083844,242.90825101650267,242.90825101650267,241.70557802527125]","[70.46849324758513,71.37159656107845,71.37159656107845,70.89830745526855,70.89830745526855,69.21937738747323,69.21937738747323,69.6829222572619,69.6829222572619,70.46849324758513]",False,"[5.44,5.26,5.26,4.94,4.94,6.45,6.45,6.21,6.21,5.44]"
P09,1,"['86614','86614']",女史,"[270.17228447527833,270.17228447527833]","[72.35434631272838,72.35434631272838]",False,"[4.57,4.57]"
P10,1,"['89937','89937']",柱史,"[279.9252652465301,279.9252652465301]","[71.9784590246884,71.9784590246884]",False,"[3.55,3.55]"
P11,3,"['87234','92112','92112','94083','94083','90647']",御女,"[278.5146163715406,288.56813455807173,288.56813455807173,294.78166004947417,294.78166004947417,288.1929920568314]","[76.66546287057784,73.95588963152045,73.95588963152045,74.52106292712764,74.52106292712764,76.27764052378546]",False,"[5.02,5.37,5.37,5.11,5.11,5.65]"
P12,5,"['100965','101082','101082','102599','102599','104756','104756','102208','102208','100965']",天柱,"[316.8194478188415,316.4331551354828,316.4331551354828,318.5501117971164,318.5501117971164,323.70522447597284,323.70522447597284,321.14602520848916,321.14602520848916,316.8194478188415]","[77.62025253826972,77.29744741191577,77.29744741191577,76.53457078619921,76.53457078619921,76.84048881957868,76.84048881957868,78.44137983692016,78.44137983692016,77.62025253826972]",False,"[5.38,5.96,5.96,5.36,5.36,6.12,6.12,5.75,5.75,5.38]"
P13,1,"['77277','75974']",大理,"[233.34840990669662,229.70888326809856]","[65.80036423050126,67.70671694730808]",False,"[5.19,5.74]"
P14,5,"['112833','5372','5372','11767','11767','85822','85822','82080','82080','77055']",勾陈,"[342.82478918689907,357.92412024322823,357.92412024322823,357.11707876034757,357.11707876034757,318.71494874078536,318.71494874078536,280.45261594398363,280.45261594398363,249.18532930608487]","[80.01766912820976,80.72711364064816,80.72711364064816,83.79138486862378,83.79138486862378,84.17666835599618,84.17666835599618,82.44941916203257,82.44941916203257,80.4205992273691]",False,"[5.89,4.24,4.24,1.97,1.97,4.35,4.35,4.21,4.21,4.29]"
P15,6,"['10054','10623','10623','4283','4283','3132','3132','2142','2142','5626','5626','10054']",六甲,"[9.562172605313188,8.57986276508704,8.57986276508704,357.48775654968165,357.48775654968165,355.63038771441023,355.63038771441023,353.83634819182816,353.83634819182816,1.2353767161710811,1.2353767161710811,9.562172605313188]","[76.07589691857748,78.34347715260381,78.34347715260381,78.16176472343241,78.16176472343241,76.93023696483144,76.93023696483144,74.48182622455586,74.48182622455586,74.17985821065272,74.17985821065272,76.07589691857748]",False,"[6.05,6.45,6.45,5.59,5.59,6.38,6.38,6.53,6.53,5.6,5.6,6.05]"
P16,1,"['115746','115746']",天皇大帝,"[348.7953258499005,348.7953258499005]","[81.7960772421385,81.7960772421385]",False,"[5.56,5.56]"
