P17,4,"['112519', '113116', '112519', '108456', '112519', '118027', '112519', '110724', '']",五帝内座,"[341.87061429, 343.60160144, 341.87061429, 329.55638101, 341.87061429, 359.1148247, 341.87061429, 336.50068495]","[83.15371558, 84.34611856, 83.15371558, 82.86966645, 83.15371558, 83.19110073, 83.15371558, 80.70156136]",False,"[4.77, 4.7, 4.77, 6.92, 4.77, 6.57, 4.77, 6.68]"
P18,6,"['9480', '13367', '13367', '12821', '12821', '11569', '11569', '9009', '9009', '8016', '8016', '7650']",华盖,"[30.48979079, 42.99478506, 42.99478506, 41.20695883, 41.20695883, 37.26661741, 37.26661741, 29.00001575, 29.00001575, 25.73220374, 25.73220374, 24.62892127]","[70.90704605, 68.88851683, 68.88851683, 67.82470926, 67.82470926, 67.40238385, 67.40238385, 68.68526545, 68.68526545, 70.62255881, 70.62255881, 73.04007203]",False,"[4.49, 5.94, 5.94, 5.95, 5.95, 4.46, 4.46, 4.97, 4.97, 5.18, 5.18, 5.28]"
P19,8,"['19461', '14844', '14844', '13055', '13055', '10309', '10309', '9568', '9568', '9727', '9727', '9763', '9763', '9586', '9586', '9598']",杠(附华盖),"[62.51160698, 47.92855231, 47.92855231, 41.94847766, 41.94847766, 33.20825793, 33.20825793, 30.73767498, 30.73767498, 31.27938922, 31.27938922, 31.38157411, 31.38157411, 30.79378002, 30.79378002, 30.85912643]","[80.69867409, 81.47071191, 81.47071191, 81.44866603, 81.44866603, 79.69148012, 79.69148012, 77.91627546, 77.91627546, 77.28145654, 77.28145654, 76.11511028, 76.11511028, 73.85056527, 73.85056527, 72.42123962]",False,"[5.1, 5.92, 5.92, 5.8, 5.8, 6.46, 6.46, 6.04, 6.04, 5.27, 5.27, 5.22, 5.22, 6.12, 6.12, 3.95]"
P20,8,"['20266', '19177', '19177', '17884', '17884', '15890', '15890', '8362', '8362', '6312', '6312', '5566', '5566', '4572', '4572', '3951']",传舍,"[65.16818726, 61.66171942, 61.66171942, 57.38035594, 57.38035594, 51.16900549, 51.16900549, 26.9336011, 26.9336011, 20.27160602, 20.27160602, 17.85631897, 17.85631897, 14.62916229, 14.62916229, 12.68155194]","[65.14045287, 65.52085977, 65.52085977, 65.52600645, 65.52600645, 64.58599618, 64.58599618, 63.85310111, 63.85310111, 64.65818814, 64.65818814, 64.20272388, 64.20272388, 66.35182541, 66.35182541, 64.24758084]",False,"[5.26, 6.14, 6.14, 4.39, 4.39, 5.13, 5.13, 5.63, 5.63, 6.33, 6.33, 5.56, 5.56, 5.97, 5.97, 5.35]"
P21,4,"['44390', '37949', '37949', '36528', '42527', '40215', '40215', '36211']",内阶,"[135.63635792, 116.66682971, 116.66682971, 112.71958057, 130.05374429, 123.20328577, 123.20328577, 111.85767998]","[67.62957486, 65.45563092, 65.45563092, 68.465727, 64.32787175, 68.47405416, 68.47405416, 66.33164165]",False,"[4.74, 5.93, 5.93, 5.63, 4.59, 5.34, 5.34, 6.47]"
P22,4,"['97433', '95081', '95081', '90344', '91315', '94376', '94376', '98702']",天厨,"[297.04255658, 290.16696656, 290.16696656, 276.49578299, 279.38963009, 288.13814581, 288.13814581, 300.7043634]","[70.26783533, 65.71443029999999, 65.71443029999999, 65.56354628, 62.52646287, 67.66131695, 67.66131695, 67.87344872]",False,"[3.84, 4.6, 4.6, 4.82, 5.74, 3.07, 3.07, 4.51]"
P23,7,"['23522', '21601', '21601', '20376', '20376', '21452', '21452', '22783', '22783', '24017', '24017', '22626', '22626', '24914']",八谷,"[75.85457199999999, 69.56268608, 69.56268608, 65.44826292, 65.44826292, 69.10096877, 69.10096877, 73.51254425, 73.51254425, 77.43554096, 77.43554096, 73.02153945, 73.02153945, 80.09422729999999]","[60.44228144, 60.88425174, 60.88425174, 60.73590167, 60.73590167, 64.26162001, 64.26162001, 66.34266029, 66.34266029, 64.91993345, 64.91993345, 63.50564999, 63.50564999, 62.65371666]",False,"[4.03, 6.64, 6.64, 5.4, 5.4, 5.91, 5.91, 4.26, 4.26, 6.37, 6.37, 5.47, 5.47, 5.64]"
P24,4,"['87585', '85829', '85829', '85670', '85670', '87833', '87833', '86414']",天棓,"[268.38178961, 263.06616249, 263.06616249, 262.60823708, 262.60823708, 269.15157439, 269.15157439, 264.86621847]","[56.87245216, 55.17280674, 55.17280674, 52.30135901, 52.30135901, 51.48895101, 51.48895101, 46.00632216]",False,"[3.73, 4.86, 4.86, 2.79, 2.79, 2.24, 2.24, 3.82]"
P25,4,"['73507', '71040', '71040', '70952', '72664', '71876', '71876', '68184']",天床,"[225.36295558, 217.92861754, 217.92861754, 217.6929151, 222.86072795, 220.51315491, 220.51315491, 209.38373744]","[60.20442421, 60.22558784, 60.22558784, 63.18576376, 59.29365246, 61.26198751, 61.26198751, 61.4923353]",False,"[5.91, 6.26, 6.26, 6.1, 5.48, 6.24, 6.24, 6.49]"
P26,1,"['62423', '63076']",内厨,"[191.89308893, 193.86897969999998]","[66.79031573, 65.43854743]",False,"[5.43, 5.23]"
P27,5,"['46733', '48319', '48319', '48402', '48402', '46853', '46853', '44901', '44901', '44504']",文昌,"[142.88154025, 147.74871542, 147.74871542, 148.02650069, 148.02650069, 143.21802191, 143.21802191, 137.21827365, 137.21827365, 136.00167862]","[63.06179545, 59.03910437, 59.03910437, 54.06428574, 54.06428574, 51.67860208, 51.67860208, 51.60472728, 51.60472728, 54.28387681]",False,"[3.65, 3.78, 3.78, 4.55, 4.55, 3.17, 3.17, 4.46, 4.46, 5.74]"
P28,2,"['52353', '50933', '50933', '51448']",三师,"[160.48659345, 156.03274518, 156.03274518, 157.61105667]","[65.71646212, 65.56647366, 65.56647366, 64.25781273]",False,"[5.12, 4.94, 4.94, 6.07]"
P29,1,"['54539', '54539']",太尊,"[167.41608092, 167.41608092]","[44.49855337, 44.49855337]",False,"[3.0, 3.0]"
P30,6,"['51814', '51459', '51459', '52136', '52136', '53261', '53261', '53043', '53043', '52478', '52478', '51814']",天牢,"[158.79009325, 157.65735143, 157.65735143, 159.77393431, 159.77393431, 163.39382839, 163.39382839, 162.79617975, 162.79617975, 160.93048735, 160.93048735, 158.79009325]","[57.08254651, 55.98061759, 55.98061759, 53.66849306, 53.66849306, 54.58515228, 54.58515228, 56.58223677, 56.58223677, 57.19932851, 57.19932851, 57.08254651]",False,"[5.16, 4.82, 4.82, 5.55, 5.55, 5.12, 5.12, 5.66, 5.66, 5.79, 5.79, 5.16]"
P31,1,"['57399', '57399']",太阳守,"[176.51305887, 176.51305887]","[47.77933701, 47.77933701]",False,"[3.69, 3.69]"
P32,4,"['57045', '55797', '55797', '54765', '54765', '56510', '56510', '57045']",势,"[175.43132179, 171.48826775, 171.48826775, 168.18520584, 168.18520584, 173.77040437, 173.77040437, 175.43132179]","[55.17199339, 55.85034058, 55.85034058, 54.89429192, 54.89429192, 54.78537508, 54.78537508, 55.17199339]",False,"[6.28, 5.73, 5.73, 6.63, 6.63, 5.63, 5.63, 6.28]"
P33,1,"['60988', '60988']",相,"[187.5129321, 187.5129321]","[51.53556985, 51.53556985]",False,"[6.21, 6.21]"
P34,2,"['66234', '64906', '64906', '65550']",三公(紫微垣),"[203.61405606, 199.56058516, 199.56058516, 201.56907049]","[49.01590606, 49.68201519, 49.68201519, 46.0281037]",False,"[4.68, 5.14, 5.14, 5.88]"
P35,1,"['69732', '69732']",玄戈,"[214.09656821, 214.09656821]","[46.08791894, 46.08791894]",False,"[4.18, 4.18]"
P36,4,"['57477', '56083', '56083', '56944', '56944', '58181', '58181', '57477']",天理,"[176.73170252, 172.43191375, 172.43191375, 175.11433318, 175.11433318, 178.99336544, 178.99336544, 176.73170252]","[55.62826771, 56.73765523, 56.73765523, 57.9703736, 57.9703736, 56.59856271, 56.59856271, 55.62826771]",False,"[5.27, 6.29, 6.29, 6.35, 6.35, 5.83, 5.83, 5.27]"
P37,6,"['54061', '53910', '53910', '58001', '58001', '59774', '59774', '62956', '62956', '65378', '65378', '67301']",北斗,"[165.93265365, 165.4599615, 165.4599615, 178.45725536, 178.45725536, 183.85603795, 183.85603795, 193.5068041, 193.5068041, 200.98091604, 200.98091604, 206.88560880000003]","[61.75111888, 56.38234478, 56.38234478, 53.69473296, 53.69473296, 57.03259792, 57.03259792, 55.95984301, 55.95984301, 54.92541525, 54.92541525, 49.31330288]",False,"[1.81, 2.34, 2.34, 2.41, 2.41, 3.32, 3.32, 1.76, 1.76, 2.23, 2.23, 1.85]"
P38,1,"['65477', '65477']",辅(附北斗),"[201.30589832, 201.30589832]","[54.98799884, 54.98799884]",False,"[3.99, 3.99]"
P39,2,"['70497', '69713', '69713', '69483']",天枪,"[216.30008064, 214.04195627, 214.04195627, 213.37062458]","[51.85171354, 51.36701398, 51.36701398, 51.78999066]",False,"[4.04, 4.75, 4.75, 4.53]"
S01,4,"['60129', '61941', '61941', '63090', '63090', '63608', '63608', '64241']",太微左垣,"[184.97663096, 190.41667557, 190.41667557, 193.90201366, 193.90201366, 195.54483557, 195.54483557, 197.49812263]","[-0.66674709, -1.44952231, -1.44952231, 3.39759862, 3.39759862, 10.95910186, 10.95910186, 17.52911621]",False,"[3.89, 2.74, 2.74, 3.39, 3.39, 2.85, 2.85, 4.32]"
S02,4,"['57757', '55434', '55434', '55642', '55642', '54879', '54879', '54872']",太微右垣,"[177.67202553, 170.28436733, 170.28436733, 170.98070334, 170.98070334, 168.56017036, 168.56017036, 168.52671705]","[1.76537705, 6.02935289, 6.02935289, 10.52969772, 10.52969772, 15.429763099999999, 15.429763099999999, 20.52403384]",False,"[3.59, 4.05, 4.05, 4.0, 4.0, 3.33, 3.33, 2.56]"
S03,1,"['60172', '60172']",谒者,"[185.08813566, 185.08813566]","[3.31272688, 3.31272688]",False,"[4.97, 4.97]"
S04,2,"['60353', '61103', '61103', '61658']",三公(太微垣),"[185.6339017, 187.83928382, 187.83928382, 189.59355028]","[5.30557355, 7.60428312, 7.60428312, 1.85470456]",False,"[6.46, 6.05, 6.05, 5.68]"
S05,2,"['62541', '62394', '62394', '61960']",九卿,"[192.22581729, 191.80673093, 191.80673093, 190.47086482]","[14.12263297, 11.95813254, 11.95813254, 10.23584294]",False,"[5.71, 6.11, 6.11, 4.88]"
S06,4,"['62886', '61724', '61724', '60957', '60957', '60202', '60202', '59819']",五诸侯(太微垣),"[193.32404513, 189.78065686, 189.78065686, 187.43009821, 187.43009821, 185.17955477, 185.17955477, 184.00097886]","[21.24502058, 21.06258094, 21.06258094, 20.89618496, 20.89618496, 17.79265307, 17.79265307, 14.89914477]",False,"[4.89, 5.49, 5.49, 5.68, 5.68, 4.72, 4.72, 5.09]"
S07,3,"['57328', '57380', '57380', '58590', '58590', '58948']",内屏,"[176.32085333, 176.46487734, 176.46487734, 180.21829289, 180.21829289, 181.30279]","[8.25817475, 6.52981394, 6.52981394, 6.61439464, 6.61439464, 8.73284563]",False,"[4.84, 4.04, 4.04, 4.65, 4.65, 4.12]"
S08,4,"['58159', '57632', '57632', '57320', '57646', '57632', '57632', '57779']",五帝座,"[178.91886481, 177.26615977, 177.26615977, 176.29774406, 177.311522, 177.26615977, 177.26615977, 177.73092864]","[15.64680922, 14.57233687, 14.57233687, 14.26332609, 16.24301299, 14.57233687, 14.57233687, 12.27897116]",False,"[5.53, 2.14, 2.14, 6.51, 6.05, 2.14, 2.14, 6.37]"
S09,1,"['58858', '58858']",幸臣,"[181.06906686, 181.06906686]","[21.45916332, 21.45916332]",False,"[5.89, 5.89]"
